date,description,amount,category
2025-05-05,"PAYROLL DIRECT DEP",-3001.73,"Income"
2025-05-05,"RENT PAYMENT",458.50,"Rent And Utilities"
2025-05-07,"WATER BILL",50.78,"Rent And Utilities"
2025-05-10,"STATE FARM",155.57,"General Services"
2025-05-13,"DUKE ENERGY",126.06,"Rent And Utilities"
2025-05-14,"NC QUICK PASS REBILL",11.06,"Transportation"
2025-05-15,"VERIZON",89.34,"Rent And Utilities"
2025-05-16,"GOV*NC DMV",200.06,"Government And Non Profit"
2025-05-21,"WWP*HOMETEAM PEST DEFENSE",48.36,"Home Improvement"
2025-05-24,"WATER BILL",45.83,"Rent And Utilities"
2025-05-25,"FI DPvV4G",94.72,"Rent And Utilities"
2025-05-27,"CHASE CREDIT CRD AUTOPAY",1048.05,"Transfer Out"
