date,description,amount,category
2025-09-01,"PAYROLL DIRECT DEP",-3331.58,"Income"
2025-09-05,"RENT PAYMENT",731.58,"Rent And Utilities"
2025-09-07,"DUKE ENERGY",144.74,"Rent And Utilities"
2025-09-13,"STATE FARM",148.71,"General Services"
2025-09-14,"WATER BILL",50.41,"Rent And Utilities"
2025-09-16,"VERIZON",71.36,"Rent And Utilities"
2025-09-16,"NC QUICK PASS REBILL",8.53,"Transportation"
2025-09-18,"PIEDMONT INTERNAL MEDICIN",842.37,"Medical"
2025-09-19,"WWP*HOMETEAM PEST DEFENSE",47.24,"Home Improvement"
2025-09-24,"DUKE ENERGY",156.18,"Rent And Utilities"
2025-09-26,"FI DPvV4G",79.40,"Rent And Utilities"
2025-09-27,"CHASE CREDIT CRD AUTOPAY",1349.97,"Transfer Out"
