date,description,amount,category
2025-10-04,"PAYROLL DIRECT DEP",-3870.55,"Income"
2025-10-05,"RENT PAYMENT",595.69,"Rent And Utilities"
2025-10-06,"WATER BILL",36.98,"Rent And Utilities"
2025-10-06,"NC QUICK PASS REBILL",15.82,"Transportation"
2025-10-09,"DUKE ENERGY",189.77,"Rent And Utilities"
2025-10-10,"STATE FARM",133.33,"General Services"
2025-10-14,"GOV*NC DMV",200.78,"Government And Non Profit"
2025-10-16,"VERIZON",89.07,"Rent And Utilities"
2025-10-21,"WWP*HOMETEAM PEST DEFENSE",50.80,"Home Improvement"
2025-10-21,"NC QUICK PASS REBILL",12.94,"Transportation"
2025-10-22,"WATER BILL",37.62,"Rent And Utilities"
2025-10-25,"DUKE ENERGY",155.23,"Rent And Utilities"
2025-10-27,"CHASE CREDIT CRD AUTOPAY",1319.54,"Transfer Out"
2025-10-28,"FI DPvV4G",88.67,"Rent And Utilities"
