date,description,amount,category
2025-03-05,"PAYROLL DIRECT DEP",-3525.48,"Income"
2025-03-05,"RENT PAYMENT",375.02,"Rent And Utilities"
2025-03-09,"NC QUICK PASS REBILL",8.13,"Transportation"
2025-03-12,"STATE FARM",121.43,"General Services"
2025-03-13,"VERIZON",86.69,"Rent And Utilities"
2025-03-13,"Jiffy Lube",56.68,"General Services"
2025-03-15,"WATER BILL",51.85,"Rent And Utilities"
2025-03-16,"DUKE ENERGY",155.81,"Rent And Utilities"
2025-03-21,"WWP*HOMETEAM PEST DEFENSE",50.82,"Home Improvement"
2025-03-23,"NC QUICK PASS REBILL",12.69,"Transportation"
2025-03-27,"CHASE CREDIT CRD AUTOPAY",757.16,"Transfer Out"
2025-03-28,"FI DPvV4G",79.07,"Rent And Utilities"
