date,description,amount,category
2026-01-04,"PAYROLL DIRECT DEP",-2918.91,"Income"
2026-01-05,"NC QUICK PASS REBILL",11.90,"Transportation"
2026-01-05,"RENT PAYMENT",421.03,"Rent And Utilities"
2026-01-12,"STATE FARM",143.59,"General Services"
2026-01-15,"WATER BILL",43.54,"Rent And Utilities"
2026-01-16,"DUKE ENERGY",179.09,"Rent And Utilities"
2026-01-17,"VERIZON",76.06,"Rent And Utilities"
2026-01-18,"WWP*HOMETEAM PEST DEFENSE",48.30,"Home Improvement"
2026-01-25,"FI DPvV4G",81.85,"Rent And Utilities"
2026-01-25,"NC QUICK PASS REBILL",11.47,"Transportation"
2026-01-27,"CHASE CREDIT CRD AUTOPAY",1058.04,"Transfer Out"
