date,description,amount,category
2025-07-03,"PAYROLL DIRECT DEP",-3794.27,"Income"
2025-07-05,"DUKE ENERGY",185.92,"Rent And Utilities"
2025-07-05,"RENT PAYMENT",502.72,"Rent And Utilities"
2025-07-10,"STATE FARM",157.34,"General Services"
2025-07-14,"VERIZON",88.67,"Rent And Utilities"
2025-07-15,"NC QUICK PASS REBILL",8.26,"Transportation"
2025-07-16,"WATER BILL",42.03,"Rent And Utilities"
2025-07-20,"WWP*HOMETEAM PEST DEFENSE",50.80,"Home Improvement"
2025-07-22,"DUKE ENERGY",107.98,"Rent And Utilities"
2025-07-25,"FI DPvV4G",99.64,"Rent And Utilities"
2025-07-27,"CHASE CREDIT CRD AUTOPAY",1182.49,"Transfer Out"
