date,description,amount,category
2026-02-03,"PAYROLL DIRECT DEP",-2940.00,"Income"
2026-02-05,"RENT PAYMENT",561.49,"Rent And Utilities"
2026-02-06,"NC QUICK PASS REBILL",14.05,"Transportation"
2026-02-07,"WATER BILL",57.37,"Rent And Utilities"
2026-02-08,"STATE FARM",151.60,"General Services"
2026-02-12,"DUKE ENERGY",154.39,"Rent And Utilities"
2026-02-13,"VERIZON",84.46,"Rent And Utilities"
2026-02-14,"GOV*NC DMV",185.31,"Government And Non Profit"
2026-02-16,"WWP*HOMETEAM PEST DEFENSE",42.55,"Home Improvement"
2026-02-22,"WATER BILL",42.53,"Rent And Utilities"
2026-02-22,"NC QUICK PASS REBILL",14.53,"Transportation"
2026-02-24,"FI DPvV4G",96.35,"Rent And Utilities"
2026-02-27,"CHASE CREDIT CRD AUTOPAY",1334.25,"Transfer Out"
