date,description,amount,category
2025-12-04,"PAYROLL DIRECT DEP",-2989.39,"Income"
2025-12-05,"WATER BILL",78.32,"Rent And Utilities"
2025-12-05,"RENT PAYMENT",604.18,"Rent And Utilities"
2025-12-08,"DUKE ENERGY",170.75,"Rent And Utilities"
2025-12-13,"STATE FARM",127.32,"General Services"
2025-12-14,"NC QUICK PASS REBILL",14.19,"Transportation"
2025-12-16,"VERIZON",81.99,"Rent And Utilities"
2025-12-17,"GOV*NC DMV",193.30,"Government And Non Profit"
2025-12-18,"WWP*HOMETEAM PEST DEFENSE",45.88,"Home Improvement"
2025-12-24,"DUKE ENERGY",116.97,"Rent And Utilities"
2025-12-24,"WATER BILL",84.16,"Rent And Utilities"
2025-12-27,"FI DPvV4G",109.44,"Rent And Utilities"
2025-12-27,"CHASE CREDIT CRD AUTOPAY",1354.38,"Transfer Out"
