date,description,amount,category
2025-11-02,"PAYROLL DIRECT DEP",-3170.51,"Income"
2025-11-05,"RENT PAYMENT",948.18,"Rent And Utilities"
2025-11-06,"WATER BILL",56.43,"Rent And Utilities"
2025-11-09,"NC QUICK PASS REBILL",13.39,"Transportation"
2025-11-12,"TRIANGLE APPLIANCE FRIDGE REPAIR",1495.00,"Home Improvement"
2025-11-13,"STATE FARM",157.00,"General Services"
2025-11-14,"DUKE ENERGY",102.67,"Rent And Utilities"
2025-11-14,"VERIZON",73.08,"Rent And Utilities"
2025-11-20,"WWP*HOMETEAM PEST DEFENSE",49.82,"Home Improvement"
2025-11-22,"NC QUICK PASS REBILL",10.77,"Transportation"
2025-11-23,"WATER BILL",76.90,"Rent And Utilities"
2025-11-27,"FI DPvV4G",103.28,"Rent And Utilities"
2025-11-27,"CHASE CREDIT CRD AUTOPAY",1511.69,"Transfer Out"
