date,description,amount,category
2025-08-02,"PAYROLL DIRECT DEP",-3039.89,"Income"
2025-08-05,"DUKE ENERGY",110.53,"Rent And Utilities"
2025-08-05,"RENT PAYMENT",471.38,"Rent And Utilities"
2025-08-07,"WATER BILL",84.15,"Rent And Utilities"
2025-08-13,"STATE FARM",153.00,"General Services"
2025-08-14,"NC QUICK PASS REBILL",10.92,"Transportation"
2025-08-15,"VERIZON",86.86,"Rent And Utilities"
2025-08-19,"WWP*HOMETEAM PEST DEFENSE",54.26,"Home Improvement"
2025-08-22,"DUKE ENERGY",125.83,"Rent And Utilities"
2025-08-25,"WATER BILL",43.17,"Rent And Utilities"
2025-08-27,"CHASE CREDIT CRD AUTOPAY",1118.89,"Transfer Out"
2025-08-28,"FI DPvV4G",96.70,"Rent And Utilities"
