date,description,amount,category
2025-09-03,"NETFLIX",23.15,"General Services"
2025-09-04,"TARGET",120.33,"General Merchandise"
2025-09-05,"AMAZON MKTPL",179.45,"General Merchandise"
2025-09-06,"STARBUCKS",12.56,"Food And Drink"
2025-09-06,"FIREBIRDS MORRISVILLE",53.73,"Food And Drink"
2025-09-07,"SPOTIFY",13.53,"Government And Non Profit"
2025-09-09,"AMAZON MKTPL",146.87,"General Merchandise"
2025-09-13,"Wikimedia",4.26,"Government And Non Profit"
2025-09-13,"TARGET",93.56,"General Merchandise"
2025-09-14,"DOMINO'S",42.73,"Food And Drink"
2025-09-15,"STARBUCKS",7.06,"Food And Drink"
2025-09-16,"SP MARBLES PLAYSTOREI",10.28,"General Merchandise"
2025-09-18,"AMAZON MKTPL",171.94,"General Merchandise"
2025-09-20,"FIREBIRDS MORRISVILLE",58.33,"Food And Drink"
2025-09-21,"WHOLE FOODS",74.74,"Food And Drink"
2025-09-23,"TARGET",131.74,"General Merchandise"
2025-09-24,"STARBUCKS",6.00,"Food And Drink"
2025-09-25,"TRADER JOES",67.10,"Food And Drink"
2025-09-26,"AMAZON MKTPL",150.91,"General Merchandise"
