date,description,amount,category
2025-11-02,"AMAZON MKTPL",157.55,"General Merchandise"
2025-11-02,"STARBUCKS",9.76,"Food And Drink"
2025-11-04,"NETFLIX",17.35,"General Services"
2025-11-05,"SP MARBLES PLAYSTOREI",6.43,"General Merchandise"
2025-11-06,"DOMINO'S",29.53,"Food And Drink"
2025-11-08,"AMAZON MKTPL",161.66,"General Merchandise"
2025-11-08,"TARGET",112.11,"General Merchandise"
2025-11-08,"FIREBIRDS MORRISVILLE",47.36,"Food And Drink"
2025-11-11,"SPOTIFY",17.56,"Government And Non Profit"
2025-11-11,"AMAZON MKTPL",47.03,"General Merchandise"
2025-11-12,"STARBUCKS",8.21,"Food And Drink"
2025-11-14,"Wikimedia",6.16,"Government And Non Profit"
2025-11-15,"AMAZON MKTPLACE PMTS",-40.59,"General Merchandise"
2025-11-16,"AMAZON MKTPL",206.53,"General Merchandise"
2025-11-20,"AMAZON MKTPL",46.34,"General Merchandise"
2025-11-20,"STARBUCKS",13.90,"Food And Drink"
2025-11-20,"DOMINO'S",40.91,"Food And Drink"
2025-11-21,"TARGET",125.45,"General Merchandise"
2025-11-22,"FIREBIRDS MORRISVILLE",66.47,"Food And Drink"
2025-11-22,"SP MARBLES PLAYSTOREI",2.14,"General Merchandise"
2025-11-23,"WHOLE FOODS",108.71,"Food And Drink"
2025-11-24,"STARBUCKS",10.04,"Food And Drink"
2025-11-25,"AMAZON MKTPL",181.06,"General Merchandise"
2025-11-28,"TRADER JOES",121.72,"Food And Drink"
