date,description,amount,category
2026-01-02,"AMAZON MKTPL",212.86,"General Merchandise"
2026-01-03,"NETFLIX",22.08,"General Services"
2026-01-07,"STARBUCKS",10.89,"Food And Drink"
2026-01-08,"SPOTIFY",17.84,"Government And Non Profit"
2026-01-09,"AMAZON MKTPL",179.27,"General Merchandise"
2026-01-09,"TARGET",54.20,"General Merchandise"
2026-01-13,"SP MARBLES PLAYSTOREI",5.47,"General Merchandise"
2026-01-15,"DOMINO'S",34.81,"Food And Drink"
2026-01-15,"FIREBIRDS MORRISVILLE",46.98,"Food And Drink"
2026-01-17,"Wikimedia",5.92,"Government And Non Profit"
2026-01-17,"AMAZON MKTPL",102.02,"General Merchandise"
2026-01-20,"WHOLE FOODS",122.51,"Food And Drink"
2026-01-20,"AMAZON MKTPL",50.38,"General Merchandise"
2026-01-22,"TARGET",89.75,"General Merchandise"
2026-01-22,"STARBUCKS",6.21,"Food And Drink"
2026-01-26,"AMAZON MKTPL",72.18,"General Merchandise"
2026-01-28,"TRADER JOES",76.30,"Food And Drink"
