date,description,amount,category
2025-06-05,"NETFLIX",15.22,"General Services"
2025-06-05,"AMAZON MKTPL",112.04,"General Merchandise"
2025-06-05,"TARGET",87.73,"General Merchandise"
2025-06-05,"STARBUCKS",7.46,"Food And Drink"
2025-06-07,"FIREBIRDS MORRISVILLE",74.88,"Food And Drink"
2025-06-09,"DOMINO'S",30.70,"Food And Drink"
2025-06-09,"SP MARBLES PLAYSTOREI",5.21,"General Merchandise"
2025-06-10,"SPOTIFY",12.86,"Government And Non Profit"
2025-06-11,"STARBUCKS",6.16,"Food And Drink"
2025-06-12,"AMAZON MKTPL",172.65,"General Merchandise"
2025-06-15,"Wikimedia",7.10,"Government And Non Profit"
2025-06-15,"AMAZON MKTPLACE PMTS",-47.44,"General Merchandise"
2025-06-16,"TARGET",48.31,"General Merchandise"
2025-06-18,"AMAZON MKTPL",160.68,"General Merchandise"
2025-06-18,"STARBUCKS",11.28,"Food And Drink"
2025-06-19,"WHOLE FOODS",98.83,"Food And Drink"
2025-06-20,"DOMINO'S",32.63,"Food And Drink"
2025-06-20,"SP MARBLES PLAYSTOREI",5.87,"General Merchandise"
2025-06-21,"FIREBIRDS MORRISVILLE",46.61,"Food And Drink"
2025-06-24,"AMAZON MKTPL",67.02,"General Merchandise"
2025-06-24,"STARBUCKS",11.87,"Food And Drink"
2025-06-27,"TRADER JOES",125.26,"Food And Drink"
2025-06-27,"TARGET",102.24,"General Merchandise"
