date,description,amount,category
2025-10-01,"NETFLIX",19.69,"General Services"
2025-10-01,"AMAZON MKTPL",159.66,"General Merchandise"
2025-10-01,"TARGET",64.89,"General Merchandise"
2025-10-03,"STARBUCKS",7.73,"Food And Drink"
2025-10-07,"DOMINO'S",31.77,"Food And Drink"
2025-10-10,"SPOTIFY",16.72,"Government And Non Profit"
2025-10-10,"AMAZON MKTPL",60.06,"General Merchandise"
2025-10-12,"TARGET",98.75,"General Merchandise"
2025-10-13,"AMAZON MKTPL",25.20,"General Merchandise"
2025-10-13,"STARBUCKS",11.25,"Food And Drink"
2025-10-13,"SP MARBLES PLAYSTOREI",10.90,"General Merchandise"
2025-10-15,"DOMINO'S",37.06,"Food And Drink"
2025-10-17,"Wikimedia",5.17,"Government And Non Profit"
2025-10-17,"FIREBIRDS MORRISVILLE",71.46,"Food And Drink"
2025-10-20,"WHOLE FOODS",121.15,"Food And Drink"
2025-10-20,"TARGET",96.44,"General Merchandise"
2025-10-23,"AMAZON MKTPL",190.77,"General Merchandise"
2025-10-23,"STARBUCKS",11.15,"Food And Drink"
2025-10-25,"DOMINO'S",25.66,"Food And Drink"
2025-10-27,"AMAZON MKTPL",124.12,"General Merchandise"
2025-10-28,"TRADER JOES",76.04,"Food And Drink"
2025-10-29,"TARGET",67.37,"General Merchandise"
