date,description,amount,category
2026-02-01,"AMAZON MKTPL",146.82,"General Merchandise"
2026-02-02,"DOMINO'S",26.17,"Food And Drink"
2026-02-03,"NETFLIX",15.59,"General Services"
2026-02-05,"SP MARBLES PLAYSTOREI",4.65,"General Merchandise"
2026-02-07,"TARGET",86.52,"General Merchandise"
2026-02-09,"AMAZON MKTPL",64.81,"General Merchandise"
2026-02-09,"STARBUCKS",13.85,"Food And Drink"
2026-02-09,"FIREBIRDS MORRISVILLE",66.80,"Food And Drink"
2026-02-10,"SPOTIFY",12.18,"Government And Non Profit"
2026-02-13,"Wikimedia",5.49,"Government And Non Profit"
2026-02-14,"FAILBETTER GAMES",12.91,"General Merchandise"
2026-02-15,"AMAZON MKTPL",143.32,"General Merchandise"
2026-02-15,"DOMINO'S",31.18,"Food And Drink"
2026-02-15,"AMAZON MKTPLACE PMTS",-10.41,"General Merchandise"
2026-02-18,"AMAZON MKTPL",203.76,"General Merchandise"
2026-02-19,"FIREBIRDS MORRISVILLE",60.51,"Food And Drink"
2026-02-20,"STARBUCKS",6.07,"Food And Drink"
2026-02-20,"SP MARBLES PLAYSTOREI",3.27,"General Merchandise"
2026-02-21,"WHOLE FOODS",143.21,"Food And Drink"
2026-02-21,"TARGET",50.45,"General Merchandise"
2026-02-24,"TRADER JOES",53.03,"Food And Drink"
2026-02-25,"DOMINO'S",23.01,"Food And Drink"
2026-02-27,"AMAZON MKTPL",219.02,"General Merchandise"
