date,description,amount,category
2025-08-02,"AMAZON MKTPL",36.06,"General Merchandise"
2025-08-04,"NETFLIX",18.61,"General Services"
2025-08-04,"STARBUCKS",12.34,"Food And Drink"
2025-08-05,"TARGET",25.88,"General Merchandise"
2025-08-07,"SPOTIFY",11.63,"Government And Non Profit"
2025-08-07,"DOMINO'S",44.37,"Food And Drink"
2025-08-07,"SP MARBLES PLAYSTOREI",8.90,"General Merchandise"
2025-08-08,"AMAZON MKTPL",19.93,"General Merchandise"
2025-08-13,"Wikimedia",6.34,"Government And Non Profit"
2025-08-13,"AMAZON MKTPLACE PMTS",-37.97,"General Merchandise"
2025-08-14,"STARBUCKS",12.28,"Food And Drink"
2025-08-15,"DOMINO'S",32.99,"Food And Drink"
2025-08-16,"AMAZON MKTPL",84.13,"General Merchandise"
2025-08-16,"FIREBIRDS MORRISVILLE",88.84,"Food And Drink"
2025-08-17,"FAILBETTER GAMES",28.97,"General Merchandise"
2025-08-20,"WHOLE FOODS",102.69,"Food And Drink"
2025-08-21,"AMAZON MKTPL",98.94,"General Merchandise"
2025-08-23,"SP MARBLES PLAYSTOREI",2.03,"General Merchandise"
2025-08-25,"TRADER JOES",126.27,"Food And Drink"
2025-08-25,"TARGET",130.82,"General Merchandise"
2025-08-26,"AMAZON MKTPL",176.95,"General Merchandise"
2025-08-26,"DOMINO'S",28.01,"Food And Drink"
2025-08-27,"STARBUCKS",10.84,"Food And Drink"
