date,description,amount,category
2025-04-01,"NETFLIX",18.84,"General Services"
2025-04-01,"AMAZON MKTPL",22.24,"General Merchandise"
2025-04-04,"TARGET",25.64,"General Merchandise"
2025-04-05,"DOMINO'S",25.09,"Food And Drink"
2025-04-08,"FIREBIRDS MORRISVILLE",46.19,"Food And Drink"
2025-04-09,"SPOTIFY",12.24,"Government And Non Profit"
2025-04-09,"TARGET",61.32,"General Merchandise"
2025-04-09,"STARBUCKS",6.59,"Food And Drink"
2025-04-10,"AMAZON MKTPL",179.38,"General Merchandise"
2025-04-14,"AMAZON MKTPLACE PMTS",-21.51,"General Merchandise"
2025-04-16,"Wikimedia",7.96,"Government And Non Profit"
2025-04-16,"TARGET",28.83,"General Merchandise"
2025-04-16,"SP MARBLES PLAYSTOREI",2.64,"General Merchandise"
2025-04-19,"AMAZON MKTPL",156.36,"General Merchandise"
2025-04-20,"WHOLE FOODS",111.67,"Food And Drink"
2025-04-22,"DOMINO'S",30.76,"Food And Drink"
2025-04-22,"FIREBIRDS MORRISVILLE",76.80,"Food And Drink"
2025-04-23,"STARBUCKS",11.55,"Food And Drink"
2025-04-25,"AMAZON MKTPL",210.84,"General Merchandise"
2025-04-28,"TARGET",70.85,"General Merchandise"
2025-04-29,"TRADER JOES",108.89,"Food And Drink"
