date,description,amount,category
2025-05-03,"NETFLIX",17.44,"General Services"
2025-05-03,"AMAZON MKTPL",197.07,"General Merchandise"
2025-05-05,"DOMINO'S",32.97,"Food And Drink"
2025-05-05,"SP MARBLES PLAYSTOREI",9.14,"General Merchandise"
2025-05-06,"STARBUCKS",10.52,"Food And Drink"
2025-05-09,"TARGET",110.49,"General Merchandise"
2025-05-11,"SPOTIFY",11.73,"Government And Non Profit"
2025-05-13,"AMAZON MKTPL",71.44,"General Merchandise"
2025-05-15,"FAILBETTER GAMES",19.90,"General Merchandise"
2025-05-16,"FIREBIRDS MORRISVILLE",69.61,"Food And Drink"
2025-05-17,"Wikimedia",6.63,"Government And Non Profit"
2025-05-18,"AMAZON MKTPL",26.69,"General Merchandise"
2025-05-22,"TARGET",126.71,"General Merchandise"
2025-05-23,"WHOLE FOODS",88.61,"Food And Drink"
2025-05-23,"STARBUCKS",6.68,"Food And Drink"
2025-05-23,"DOMINO'S",21.60,"Food And Drink"
2025-05-23,"SP MARBLES PLAYSTOREI",10.28,"General Merchandise"
2025-05-26,"TRADER JOES",93.47,"Food And Drink"
2025-05-26,"AMAZON MKTPL",119.11,"General Merchandise"
