date,description,amount,category
2025-03-01,"NETFLIX",15.08,"General Services"
2025-03-02,"AMAZON MKTPL",85.43,"General Merchandise"
2025-03-03,"STARBUCKS",11.34,"Food And Drink"
2025-03-06,"SP MARBLES PLAYSTOREI",8.39,"General Merchandise"
2025-03-08,"DOMINO'S",30.88,"Food And Drink"
2025-03-09,"SPOTIFY",17.31,"Government And Non Profit"
2025-03-09,"TARGET",26.52,"General Merchandise"
2025-03-10,"AMAZON MKTPL",67.52,"General Merchandise"
2025-03-13,"Wikimedia",3.19,"Government And Non Profit"
2025-03-13,"STARBUCKS",7.01,"Food And Drink"
2025-03-13,"FAILBETTER GAMES",19.96,"General Merchandise"
2025-03-15,"FIREBIRDS MORRISVILLE",62.17,"Food And Drink"
2025-03-17,"AMAZON MKTPLACE PMTS",-26.27,"General Merchandise"
2025-03-19,"AMAZON MKTPL",18.34,"General Merchandise"
2025-03-22,"WHOLE FOODS",121.30,"Food And Drink"
2025-03-23,"STARBUCKS",13.25,"Food And Drink"
2025-03-24,"TARGET",56.49,"General Merchandise"
2025-03-25,"DOMINO'S",30.67,"Food And Drink"
2025-03-25,"SP MARBLES PLAYSTOREI",7.65,"General Merchandise"
2025-03-27,"TRADER JOES",73.24,"Food And Drink"
2025-03-29,"AMAZON MKTPL",106.13,"General Merchandise"
