date,description,amount,category
2025-07-04,"AMAZON MKTPL",150.56,"General Merchandise"
2025-07-04,"TARGET",31.75,"General Merchandise"
2025-07-05,"NETFLIX",15.94,"General Services"
2025-07-06,"DOMINO'S",23.10,"Food And Drink"
2025-07-07,"STARBUCKS",9.73,"Food And Drink"
2025-07-09,"SPOTIFY",12.48,"Government And Non Profit"
2025-07-09,"AMAZON MKTPL",128.48,"General Merchandise"
2025-07-11,"TARGET",99.86,"General Merchandise"
2025-07-14,"Wikimedia",4.21,"Government And Non Profit"
2025-07-14,"SP MARBLES PLAYSTOREI",3.22,"General Merchandise"
2025-07-15,"FIREBIRDS MORRISVILLE",51.96,"Food And Drink"
2025-07-16,"DOMINO'S",20.08,"Food And Drink"
2025-07-17,"AMAZON MKTPL",26.45,"General Merchandise"
2025-07-17,"FAILBETTER GAMES",25.37,"General Merchandise"
2025-07-17,"AMAZON MKTPLACE PMTS",-39.11,"General Merchandise"
2025-07-18,"TARGET",118.26,"General Merchandise"
2025-07-22,"WHOLE FOODS",68.94,"Food And Drink"
2025-07-22,"STARBUCKS",9.31,"Food And Drink"
2025-07-26,"TRADER JOES",122.35,"Food And Drink"
2025-07-27,"TARGET",43.87,"General Merchandise"
2025-07-27,"DOMINO'S",42.41,"Food And Drink"
2025-07-28,"AMAZON MKTPL",208.18,"General Merchandise"
